Loan ID,Origination Date,Purchase Date,Loan_Segment,FICO_Range,Region,Gender,Employment_Type,Market_Channel
696458,12/31/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Part-Time,Email-Campaign
666450,12/30/2021,1/3/2022,Debt Consolidation,700-750,South,Male,Part-Time,Email-Campaign
387258,12/30/2021,1/3/2022,Debt Consolidation,625-650,East,Male,Self-Employed,Online
308027,1/6/2022,1/10/2022,Debt Consolidation,625-650,Mid West,Male,Part-Time,Phone
990405,12/29/2021,1/3/2022,Debt Consolidation,625-650,South,Male,Part-Time,Phone
62299,12/29/2021,1/3/2022,Debt Consolidation,625-650,South,Male,Other,Online
733979,12/29/2021,1/3/2022,Debt Consolidation,625-650,North West,Male,Part-Time,Online
461377,12/29/2021,1/3/2022,Debt Consolidation,700-750,North West,Male,Self-Employed,Phone
583856,12/30/2021,1/3/2022,Debt Consolidation,>750,South,Male,Self-Employed,Email-Campaign
473387,12/30/2021,1/3/2022,Debt Consolidation,<625,South,Male,Other,Email-Campaign
300052,12/30/2021,1/3/2022,Debt Consolidation,650-700,East,Male,Self-Employed,Online
623689,12/29/2021,1/3/2022,Debt Consolidation,>750,West,Male,Part-Time,Phone
970173,12/29/2021,1/3/2022,Debt Consolidation,<625,East,Male,Self-Employed,Email-Campaign
827704,1/6/2022,1/10/2022,Debt Consolidation,650-700,Mid West,Male,Part-Time,Email-Campaign
608252,12/29/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Full-Time,Phone
977518,12/31/2021,1/3/2022,Debt Consolidation,>750,South,Male,Part-Time,Phone
676527,1/7/2022,1/10/2022,Debt Consolidation,650-700,South,Male,Other,Online
307000,1/4/2022,1/7/2022,Debt Consolidation,625-650,North West,Male,Other,Online
501861,12/29/2021,1/3/2022,Debt Consolidation,700-750,South,Male,Full-Time,Phone
702038,1/3/2022,1/6/2022,Debt Consolidation,>750,South,Male,Other,Phone
970755,12/31/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Full-Time,Phone
831209,12/31/2021,1/3/2022,Debt Consolidation,650-700,Mid West,Male,Part-Time,Email-Campaign
141986,1/3/2022,1/6/2022,Debt Consolidation,>750,West,Male,Full-Time,Online
732549,12/29/2021,1/3/2022,Debt Consolidation,625-650,East,Male,Part-Time,Phone
183387,12/30/2021,1/3/2022,Debt Consolidation,>750,West,Male,Full-Time,Online
502481,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Self-Employed,Online
893683,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Full-Time,Phone
150171,12/29/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Part-Time,Phone
253019,12/29/2021,1/3/2022,Debt Consolidation,>750,West,Male,Part-Time,Online
388207,1/21/2022,1/24/2022,Debt Consolidation,700-750,West,Male,Other,Online
22214,12/30/2021,1/3/2022,Debt Consolidation,<625,East,Male,Other,Online
788159,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Other,Online
506972,12/30/2021,1/3/2022,Debt Consolidation,>750,South,Male,Other,Phone
783500,12/29/2021,1/3/2022,Debt Consolidation,>750,North West,Male,Full-Time,Email-Campaign
235315,1/3/2022,1/6/2022,Debt Consolidation,650-700,Mid West,Male,Self-Employed,Phone
275536,12/29/2021,1/3/2022,Debt Consolidation,>750,North West,Male,Full-Time,Email-Campaign
796802,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Self-Employed,Phone
708438,12/29/2021,1/3/2022,Debt Consolidation,>750,Mid West,Male,Part-Time,Email-Campaign
163923,12/29/2021,1/3/2022,Debt Consolidation,>750,South,Male,Self-Employed,Online
304980,12/30/2021,1/3/2022,Debt Consolidation,>750,North West,Male,Other,Phone
764389,12/31/2021,1/3/2022,Debt Consolidation,650-700,East,Male,Full-Time,Online
473367,12/29/2021,1/3/2022,Debt Consolidation,625-650,East,Male,Self-Employed,Email-Campaign
631476,12/29/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Self-Employed,Phone
961910,12/29/2021,1/3/2022,Debt Consolidation,700-750,East,Male,Self-Employed,Online
23790,12/29/2021,1/3/2022,Debt Consolidation,700-750,North West,Male,Full-Time,Online
871107,12/29/2021,1/3/2022,Debt Consolidation,700-750,West,Male,Full-Time,Online
801603,12/30/2021,1/3/2022,Debt Consolidation,<625,North West,Male,Other,Email-Campaign
9347,12/30/2021,1/3/2022,Debt Consolidation,700-750,South,Male,Full-Time,Online
337178,12/29/2021,1/3/2022,Debt Consolidation,650-700,East,Male,Part-Time,Online
761463,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Full-Time,Email-Campaign
517257,1/4/2022,1/7/2022,Debt Consolidation,700-750,East,Male,Self-Employed,Phone
240003,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Self-Employed,Email-Campaign
317794,12/29/2021,1/3/2022,Debt Consolidation,>750,South,Male,Self-Employed,Phone
777920,1/3/2022,1/6/2022,Debt Consolidation,>750,Mid West,Male,Full-Time,Phone
131160,12/31/2021,1/3/2022,Debt Consolidation,650-700,South,Male,Other,Email-Campaign
972402,12/29/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Self-Employed,Online
423777,12/30/2021,1/3/2022,Debt Consolidation,<625,Mid West,Male,Self-Employed,Email-Campaign
637768,12/29/2021,1/3/2022,Debt Consolidation,700-750,Mid West,Male,Full-Time,Online
61497,12/29/2021,1/3/2022,Debt Consolidation,700-750,Mid West,Male,Self-Employed,Phone
319860,12/30/2021,1/3/2022,Debt Consolidation,>750,North West,Male,Part-Time,Online
939393,1/3/2022,1/6/2022,Debt Consolidation,>750,South,Male,Self-Employed,Online
32412,12/29/2021,1/3/2022,Debt Consolidation,700-750,West,Male,Self-Employed,Online
779379,12/30/2021,1/3/2022,Debt Consolidation,700-750,South,Male,Full-Time,Phone
61471,12/29/2021,1/3/2022,Debt Consolidation,650-700,East,Male,Full-Time,Online
894429,12/30/2021,1/3/2022,Debt Consolidation,625-650,North West,Male,Self-Employed,Phone
879496,12/29/2021,1/3/2022,Debt Consolidation,625-650,North West,Male,Part-Time,Online
834189,1/24/2022,1/27/2022,Debt Consolidation,<625,Mid West,Male,Self-Employed,Phone
422702,1/3/2022,1/6/2022,Debt Consolidation,700-750,West,Male,Self-Employed,Online
495671,1/20/2022,1/24/2022,Debt Consolidation,625-650,Mid West,Male,Full-Time,Phone
423435,1/3/2022,1/6/2022,Debt Consolidation,625-650,East,Male,Self-Employed,Online
854758,12/31/2021,1/3/2022,Debt Consolidation,700-750,East,Male,Self-Employed,Email-Campaign
386114,12/29/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Other,Email-Campaign
711532,12/29/2021,1/3/2022,Debt Consolidation,>750,South,Male,Full-Time,Phone
487884,12/31/2021,1/3/2022,Debt Consolidation,650-700,South,Male,Other,Online
814241,12/29/2021,1/3/2022,Debt Consolidation,<625,East,Male,Self-Employed,Email-Campaign
190072,12/30/2021,1/3/2022,Debt Consolidation,700-750,West,Male,Part-Time,Email-Campaign
959662,1/5/2022,1/10/2022,Debt Consolidation,700-750,Mid West,Male,Other,Email-Campaign
17175,12/30/2021,1/3/2022,Debt Consolidation,650-700,South,Male,Other,Online
85641,12/30/2021,1/3/2022,Debt Consolidation,625-650,West,Male,Other,Online
499711,12/30/2021,1/3/2022,Debt Consolidation,650-700,North West,Male,Part-Time,Online
518634,12/30/2021,1/3/2022,Debt Consolidation,>750,North West,Male,Full-Time,Online
533321,12/30/2021,1/3/2022,Debt Consolidation,650-700,Mid West,Male,Part-Time,Online
226422,12/30/2021,1/3/2022,Debt Consolidation,700-750,Mid West,Male,Part-Time,Online
390482,12/30/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Other,Email-Campaign
133747,1/3/2022,1/6/2022,Debt Consolidation,625-650,West,Male,Part-Time,Phone
550987,1/10/2022,1/13/2022,Debt Consolidation,650-700,North West,Male,Self-Employed,Email-Campaign
953200,1/3/2022,1/6/2022,Debt Consolidation,>750,North West,Male,Other,Phone
868049,12/30/2021,1/3/2022,Debt Consolidation,650-700,North West,Male,Part-Time,Online
29272,12/30/2021,1/3/2022,Debt Consolidation,<625,Mid West,Male,Other,Email-Campaign
621970,12/30/2021,1/3/2022,Debt Consolidation,700-750,North West,Male,Other,Online
698025,12/30/2021,1/3/2022,Debt Consolidation,650-700,South,Male,Other,Phone
823960,12/30/2021,1/3/2022,Debt Consolidation,625-650,North West,Male,Self-Employed,Phone
452591,12/31/2021,1/3/2022,Debt Consolidation,625-650,East,Male,Part-Time,Email-Campaign
883380,12/30/2021,1/3/2022,Debt Consolidation,625-650,East,Male,Part-Time,Online
89257,12/31/2021,1/3/2022,Debt Consolidation,625-650,West,Male,Part-Time,Online
970216,12/31/2021,1/3/2022,Debt Consolidation,<625,South,Male,Other,Online
16442,12/31/2021,1/3/2022,Debt Consolidation,700-750,Mid West,Male,Self-Employed,Email-Campaign
752671,12/31/2021,1/3/2022,Debt Consolidation,700-750,East,Male,Full-Time,Email-Campaign
221611,12/31/2021,1/3/2022,Debt Consolidation,<625,East,Male,Part-Time,Phone
232676,12/31/2021,1/3/2022,Debt Consolidation,625-650,South,Male,Other,Email-Campaign
31081,12/31/2021,1/3/2022,Debt Consolidation,>750,North West,Male,Part-Time,Online
938667,12/31/2021,1/3/2022,Debt Consolidation,<625,East,Male,Part-Time,Online
731681,1/6/2022,1/10/2022,Debt Consolidation,<625,North West,Male,Full-Time,Online
125289,12/31/2021,1/3/2022,Debt Consolidation,650-700,North West,Male,Full-Time,Email-Campaign
513479,12/31/2021,1/3/2022,Debt Consolidation,<625,West,Male,Full-Time,Email-Campaign
572214,12/31/2021,1/3/2022,Debt Consolidation,650-700,East,Male,Self-Employed,Phone
854745,1/7/2022,1/10/2022,Debt Consolidation,625-650,East,Male,Full-Time,Online
249063,1/14/2022,1/18/2022,Debt Consolidation,700-750,South,Male,Part-Time,Online
408803,12/31/2021,1/3/2022,Debt Consolidation,<625,West,Male,Self-Employed,Online
397009,12/31/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Part-Time,Email-Campaign
578505,1/3/2022,1/6/2022,Debt Consolidation,625-650,Mid West,Male,Part-Time,Phone
873269,1/6/2022,1/10/2022,Debt Consolidation,<625,East,Male,Self-Employed,Email-Campaign
665564,1/6/2022,1/10/2022,Debt Consolidation,>750,Mid West,Male,Part-Time,Online
528844,1/3/2022,1/6/2022,Debt Consolidation,650-700,North West,Male,Full-Time,Online
365488,1/3/2022,1/6/2022,Debt Consolidation,625-650,East,Male,Other,Online
463086,1/4/2022,1/7/2022,Debt Consolidation,650-700,East,Male,Full-Time,Phone
212085,1/4/2022,1/7/2022,Debt Consolidation,<625,East,Male,Self-Employed,Email-Campaign
629282,1/3/2022,1/6/2022,Debt Consolidation,<625,North West,Male,Full-Time,Email-Campaign
136553,1/3/2022,1/6/2022,Debt Consolidation,>750,Mid West,Male,Other,Phone
132824,1/3/2022,1/6/2022,Debt Consolidation,700-750,West,Male,Part-Time,Phone
607396,1/12/2022,1/18/2022,Debt Consolidation,700-750,West,Male,Part-Time,Email-Campaign
313678,1/3/2022,1/6/2022,Debt Consolidation,625-650,Mid West,Male,Self-Employed,Phone
844845,1/3/2022,1/6/2022,Debt Consolidation,650-700,North West,Male,Self-Employed,Email-Campaign
306012,1/14/2022,1/18/2022,Debt Consolidation,<625,South,Female,Other,Email-Campaign
808140,1/3/2022,1/6/2022,Debt Consolidation,625-650,Mid West,Female,Other,Email-Campaign
344375,1/4/2022,1/7/2022,Debt Consolidation,>750,North West,Female,Other,Online
851120,1/3/2022,1/6/2022,Debt Consolidation,650-700,East,Female,Other,Email-Campaign
398632,1/26/2022,1/31/2022,Debt Consolidation,<625,North West,Female,Self-Employed,Online
548789,1/4/2022,1/7/2022,Debt Consolidation,<625,West,Female,Self-Employed,Online
115857,1/3/2022,1/6/2022,Debt Consolidation,625-650,North West,Female,Other,Online
13925,1/4/2022,1/7/2022,Debt Consolidation,>750,South,Female,Other,Phone
640380,1/3/2022,1/6/2022,Debt Consolidation,>750,Mid West,Female,Part-Time,Email-Campaign
705961,1/3/2022,1/6/2022,Debt Consolidation,>750,South,Female,Full-Time,Phone
328665,1/3/2022,1/6/2022,Debt Consolidation,650-700,Mid West,Female,Full-Time,Online
574619,1/10/2022,1/13/2022,Debt Consolidation,700-750,North West,Female,Part-Time,Email-Campaign
376346,1/4/2022,1/7/2022,Debt Consolidation,625-650,North West,Female,Other,Email-Campaign
457067,1/5/2022,1/10/2022,Debt Consolidation,>750,North West,Female,Full-Time,Phone
687612,3/1/2022,3/4/2022,Debt Consolidation,>750,North West,Female,Self-Employed,Online
858708,1/4/2022,1/7/2022,Debt Consolidation,>750,Mid West,Female,Full-Time,Email-Campaign
859639,1/5/2022,1/10/2022,Debt Consolidation,700-750,South,Female,Self-Employed,Online
267913,1/5/2022,1/10/2022,Debt Consolidation,700-750,West,Female,Other,Email-Campaign
686954,1/4/2022,1/7/2022,Debt Consolidation,<625,South,Female,Other,Phone
154671,1/6/2022,1/10/2022,Debt Consolidation,650-700,Mid West,Female,Other,Email-Campaign
508392,1/6/2022,1/10/2022,Debt Consolidation,625-650,South,Female,Self-Employed,Online
817494,1/5/2022,1/10/2022,Debt Consolidation,>750,North West,Female,Other,Email-Campaign
526134,1/5/2022,1/10/2022,Debt Consolidation,<625,North West,Female,Self-Employed,Email-Campaign
938126,1/6/2022,1/10/2022,Debt Consolidation,700-750,South,Female,Full-Time,Email-Campaign
546897,1/28/2022,1/31/2022,Debt Consolidation,650-700,South,Female,Full-Time,Email-Campaign
916071,1/11/2022,1/14/2022,Debt Consolidation,650-700,West,Female,Part-Time,Online
577573,1/6/2022,1/10/2022,Debt Consolidation,<625,North West,Female,Self-Employed,Phone
977131,1/6/2022,1/10/2022,Debt Consolidation,>750,North West,Female,Part-Time,Email-Campaign
176081,1/10/2022,1/13/2022,Debt Consolidation,>750,East,Female,Self-Employed,Email-Campaign
246214,1/10/2022,1/13/2022,Debt Consolidation,625-650,Mid West,Female,Part-Time,Phone
421322,1/11/2022,1/14/2022,Debt Consolidation,700-750,North West,Female,Part-Time,Online
646421,1/7/2022,1/10/2022,Debt Consolidation,650-700,South,Female,Other,Phone
249082,1/7/2022,1/10/2022,Debt Consolidation,<625,South,Female,Part-Time,Online
65407,1/7/2022,1/10/2022,Debt Consolidation,625-650,East,Female,Part-Time,Email-Campaign
648069,1/11/2022,1/14/2022,Debt Consolidation,>750,Mid West,Female,Self-Employed,Email-Campaign
701206,1/7/2022,1/10/2022,Debt Consolidation,<625,North West,Female,Other,Phone
132267,1/12/2022,1/18/2022,Debt Consolidation,625-650,North West,Female,Part-Time,Phone
848401,1/7/2022,1/10/2022,Debt Consolidation,625-650,South,Female,Self-Employed,Online
565131,1/10/2022,1/13/2022,Debt Consolidation,650-700,North West,Female,Part-Time,Phone
717651,1/10/2022,1/13/2022,Debt Consolidation,625-650,East,Female,Self-Employed,Email-Campaign
707751,1/20/2022,1/24/2022,Debt Consolidation,650-700,Mid West,Female,Other,Online
531493,1/7/2022,1/10/2022,Debt Consolidation,<625,West,Female,Self-Employed,Email-Campaign
739683,1/10/2022,1/13/2022,Debt Consolidation,700-750,West,Female,Self-Employed,Online
791010,1/11/2022,1/14/2022,Debt Consolidation,650-700,West,Female,Other,Online
939405,1/13/2022,1/18/2022,Debt Consolidation,<625,Mid West,Female,Self-Employed,Email-Campaign
404582,1/10/2022,1/13/2022,Debt Consolidation,>750,South,Female,Self-Employed,Online
283132,1/12/2022,1/18/2022,Debt Consolidation,>750,Mid West,Female,Other,Phone
586730,1/13/2022,1/18/2022,Debt Consolidation,650-700,East,Female,Part-Time,Email-Campaign
421802,1/18/2022,1/21/2022,Debt Consolidation,700-750,South,Female,Full-Time,Online
887856,1/21/2022,1/24/2022,Debt Consolidation,625-650,North West,Female,Part-Time,Email-Campaign
584680,1/21/2022,1/24/2022,Debt Consolidation,>750,North West,Female,Part-Time,Online
27331,1/10/2022,1/13/2022,Debt Consolidation,>750,West,Female,Other,Online
507957,1/12/2022,1/18/2022,Debt Consolidation,625-650,South,Female,Part-Time,Online
925425,1/13/2022,1/18/2022,Debt Consolidation,<625,South,Female,Full-Time,Online
928096,1/19/2022,1/24/2022,Debt Consolidation,650-700,West,Female,Part-Time,Online
220465,1/13/2022,1/18/2022,Debt Consolidation,700-750,East,Female,Other,Email-Campaign
75086,1/11/2022,1/14/2022,Debt Consolidation,700-750,Mid West,Female,Self-Employed,Email-Campaign
662335,1/11/2022,1/14/2022,Debt Consolidation,>750,South,Female,Full-Time,Phone
935336,1/14/2022,1/18/2022,Debt Consolidation,625-650,Mid West,Female,Full-Time,Online
356756,1/10/2022,1/13/2022,Debt Consolidation,700-750,West,Female,Self-Employed,Phone
875900,1/11/2022,1/14/2022,Debt Consolidation,650-700,East,Female,Other,Phone
924341,1/18/2022,1/21/2022,Debt Consolidation,650-700,West,Female,Self-Employed,Online
688938,1/24/2022,1/27/2022,Debt Consolidation,<625,South,Female,Full-Time,Online
799407,1/11/2022,1/14/2022,Debt Consolidation,>750,West,Female,Full-Time,Phone
711635,1/11/2022,1/14/2022,Debt Consolidation,625-650,North West,Female,Part-Time,Phone
141840,1/11/2022,1/14/2022,Debt Consolidation,>750,East,Female,Self-Employed,Email-Campaign
369355,1/14/2022,1/18/2022,Debt Consolidation,700-750,South,Female,Full-Time,Online
517341,1/11/2022,1/14/2022,Debt Consolidation,700-750,West,Female,Self-Employed,Email-Campaign
693307,1/13/2022,1/18/2022,Debt Consolidation,<625,East,Female,Self-Employed,Online
858354,1/24/2022,1/27/2022,Debt Consolidation,625-650,West,Female,Self-Employed,Online
524113,1/11/2022,1/14/2022,Debt Consolidation,650-700,North West,Female,Self-Employed,Email-Campaign
403568,1/21/2022,1/24/2022,Debt Consolidation,>750,North West,Female,Self-Employed,Online
57419,1/21/2022,1/24/2022,Debt Consolidation,650-700,South,Female,Other,Email-Campaign
339934,1/13/2022,1/18/2022,Debt Consolidation,650-700,North West,Female,Full-Time,Phone
715456,1/12/2022,1/18/2022,Debt Consolidation,<625,South,Female,Part-Time,Phone
264781,1/12/2022,1/18/2022,Debt Consolidation,650-700,West,Female,Self-Employed,Online
890362,1/26/2022,1/31/2022,Debt Consolidation,<625,East,Female,Other,Email-Campaign
396287,1/13/2022,1/18/2022,Debt Consolidation,700-750,East,Female,Self-Employed,Phone
471502,1/14/2022,1/18/2022,Debt Consolidation,>750,Mid West,Female,Self-Employed,Phone
104001,1/21/2022,1/24/2022,Debt Consolidation,<625,West,Female,Full-Time,Online
537884,1/18/2022,1/21/2022,Debt Consolidation,<625,Mid West,Female,Part-Time,Email-Campaign
786493,2/28/2022,3/3/2022,Debt Consolidation,625-650,West,Female,Part-Time,Email-Campaign
559419,1/13/2022,1/18/2022,Debt Consolidation,<625,East,Female,Self-Employed,Phone
604989,1/13/2022,1/18/2022,Debt Consolidation,650-700,South,Female,Other,Online
121432,1/14/2022,1/18/2022,Debt Consolidation,<625,North West,Female,Self-Employed,Email-Campaign
870003,1/14/2022,1/18/2022,Debt Consolidation,650-700,Mid West,Female,Self-Employed,Phone
91178,1/18/2022,1/21/2022,Debt Consolidation,>750,West,Female,Other,Email-Campaign
202186,1/18/2022,1/21/2022,Debt Consolidation,700-750,East,Female,Other,Phone
105706,1/18/2022,1/21/2022,Debt Consolidation,>750,South,Female,Full-Time,Email-Campaign
516085,1/18/2022,1/21/2022,Debt Consolidation,650-700,West,Female,Self-Employed,Email-Campaign
795938,1/14/2022,1/18/2022,Debt Consolidation,650-700,Mid West,Female,Other,Phone
717776,1/18/2022,1/21/2022,Debt Consolidation,700-750,East,Female,Part-Time,Online
329498,1/18/2022,1/21/2022,Debt Consolidation,>750,Mid West,Female,Part-Time,Online
510044,1/18/2022,1/21/2022,Debt Consolidation,>750,North West,Female,Full-Time,Phone
720024,1/18/2022,1/21/2022,Debt Consolidation,<625,East,Female,Part-Time,Online
894937,1/25/2022,1/28/2022,Debt Consolidation,700-750,Mid West,Female,Other,Online
209054,1/18/2022,1/21/2022,Debt Consolidation,>750,East,Female,Other,Phone
957781,1/18/2022,1/21/2022,Debt Consolidation,625-650,North West,Female,Part-Time,Phone
402972,1/24/2022,1/27/2022,Debt Consolidation,<625,East,Female,Other,Phone
650464,1/18/2022,1/21/2022,Debt Consolidation,650-700,North West,Female,Full-Time,Phone
256498,1/18/2022,1/21/2022,Debt Consolidation,>750,Mid West,Female,Self-Employed,Email-Campaign
542357,1/18/2022,1/21/2022,Debt Consolidation,<625,South,Female,Full-Time,Phone
653585,1/18/2022,1/21/2022,Debt Consolidation,>750,North West,Female,Other,Email-Campaign
811662,1/18/2022,1/21/2022,Debt Consolidation,<625,West,Female,Full-Time,Phone
243337,1/18/2022,1/21/2022,Debt Consolidation,700-750,East,Female,Part-Time,Online
537625,1/18/2022,1/21/2022,Debt Consolidation,<625,West,Female,Part-Time,Online
585849,1/18/2022,1/21/2022,Debt Consolidation,<625,South,Female,Self-Employed,Online
752084,1/18/2022,1/21/2022,Debt Consolidation,650-700,South,Female,Full-Time,Email-Campaign
318931,1/25/2022,1/28/2022,Debt Consolidation,650-700,West,Female,Other,Online
439971,1/18/2022,1/21/2022,Debt Consolidation,700-750,East,Female,Part-Time,Email-Campaign
387993,1/18/2022,1/21/2022,Debt Consolidation,650-700,South,Female,Full-Time,Online
724357,1/18/2022,1/21/2022,Debt Consolidation,<625,South,Female,Self-Employed,Phone
307363,1/18/2022,1/21/2022,Debt Consolidation,>750,West,Female,Part-Time,Phone
897174,1/25/2022,1/28/2022,Debt Consolidation,>750,West,Female,Full-Time,Email-Campaign
689078,1/18/2022,1/21/2022,Debt Consolidation,625-650,North West,Female,Full-Time,Online
445872,1/18/2022,1/21/2022,Debt Consolidation,650-700,East,Female,Part-Time,Email-Campaign
654657,1/21/2022,1/24/2022,Debt Consolidation,700-750,Mid West,Female,Other,Online
880155,1/18/2022,1/21/2022,Debt Consolidation,>750,South,Female,Part-Time,Phone
504942,1/18/2022,1/21/2022,Debt Consolidation,>750,East,Female,Other,Email-Campaign
136241,1/18/2022,1/21/2022,Debt Consolidation,700-750,Mid West,Female,Self-Employed,Email-Campaign
223472,1/18/2022,1/21/2022,Debt Consolidation,700-750,South,Female,Full-Time,Online
780867,1/18/2022,1/21/2022,Debt Consolidation,>750,East,Female,Other,Email-Campaign
774777,1/21/2022,1/24/2022,Debt Consolidation,>750,South,Female,Full-Time,Phone
881163,1/24/2022,1/27/2022,Debt Consolidation,700-750,West,Female,Self-Employed,Phone
627133,1/18/2022,1/21/2022,Debt Consolidation,625-650,North West,Female,Self-Employed,Online
235890,1/20/2022,1/24/2022,Debt Consolidation,<625,South,Female,Full-Time,Online
25427,1/21/2022,1/24/2022,Debt Consolidation,650-700,Mid West,Female,Self-Employed,Online
738852,1/19/2022,1/24/2022,Debt Consolidation,650-700,East,Female,Full-Time,Phone
939215,1/19/2022,1/24/2022,Debt Consolidation,700-750,West,Female,Full-Time,Email-Campaign
213332,1/25/2022,1/28/2022,Debt Consolidation,<625,West,Female,Self-Employed,Email-Campaign
840845,1/19/2022,1/24/2022,Debt Consolidation,>750,Mid West,Female,Full-Time,Online
255052,1/19/2022,1/24/2022,Debt Consolidation,625-650,South,Female,Self-Employed,Online
430825,1/21/2022,1/24/2022,Debt Consolidation,700-750,West,Female,Part-Time,Phone
69526,1/19/2022,1/24/2022,Debt Consolidation,625-650,West,Female,Self-Employed,Email-Campaign
753896,1/26/2022,1/31/2022,Debt Consolidation,650-700,West,Female,Full-Time,Email-Campaign
198273,1/21/2022,1/24/2022,Debt Consolidation,700-750,Mid West,Female,Full-Time,Email-Campaign
817163,1/24/2022,1/27/2022,Debt Consolidation,650-700,Mid West,Female,Self-Employed,Phone
273143,1/21/2022,1/24/2022,Debt Consolidation,>750,East,Female,Part-Time,Online
654638,1/21/2022,1/24/2022,Debt Consolidation,650-700,South,Female,Self-Employed,Email-Campaign
762519,1/19/2022,1/24/2022,Debt Consolidation,<625,West,Female,Self-Employed,Online
456447,1/21/2022,1/24/2022,Debt Consolidation,650-700,Mid West,Female,Self-Employed,Email-Campaign
961693,1/21/2022,1/24/2022,Debt Consolidation,650-700,North West,Female,Full-Time,Online
587488,1/24/2022,1/27/2022,Debt Consolidation,650-700,Mid West,Female,Part-Time,Online
104352,1/20/2022,1/24/2022,Debt Consolidation,700-750,Mid West,Female,Full-Time,Online
783854,1/21/2022,1/24/2022,Debt Consolidation,625-650,South,Female,Part-Time,Online
929254,1/24/2022,1/27/2022,Debt Consolidation,625-650,West,Female,Other,Online
738118,1/24/2022,1/27/2022,Debt Consolidation,<625,East,Female,Other,Email-Campaign
908453,1/21/2022,1/24/2022,Debt Consolidation,700-750,East,Female,Self-Employed,Phone
915217,1/24/2022,1/27/2022,Debt Consolidation,650-700,Mid West,Female,Part-Time,Phone
992787,1/24/2022,1/27/2022,Debt Consolidation,650-700,North West,Female,Other,Online
374130,1/25/2022,1/28/2022,Debt Consolidation,>750,South,Female,Other,Phone
573755,1/26/2022,1/31/2022,Debt Consolidation,625-650,North West,Female,Full-Time,Online
862764,1/20/2022,1/24/2022,Debt Consolidation,700-750,Mid West,Female,Full-Time,Phone
